"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Degs2",88.9981382302593,1.68081427084325,0.452927053973558,4.88216668811145e-05,0.000132893739671034
"Cers5",2771.83149076565,-0.298086482639577,0.0736196023990459,4.8869673207099e-05,0.000133004621678955
"Sipa1l3",898.928705320958,-0.734593678128665,0.184168869837086,4.89220101490922e-05,0.000133127255228681
"Elf1",14189.9889469157,-0.307922739652986,0.0761461578216219,4.92031977127408e-05,0.000133872511164875
"Cbl",1912.35525162185,-0.503190370156264,0.124837233106316,4.95129065389305e-05,0.000134695134802219
"Fcrls",23.7351261736412,4.3032522835398,1.2989966213862,4.96194405224115e-05,0.000134964878220959
"Ptpn2",4032.17038205366,0.371464184129221,0.0919327022430175,4.96450177365378e-05,0.000135011913392121
"Zswim5",146.010578094123,1.26986168671462,0.330994396895587,4.96514947183906e-05,0.000135011913392121
"AW822252",19.5514762465878,3.81981991527457,1.13532023684419,4.96640637653584e-05,0.000135026018786554
"Daam2",53.7211233334741,2.18057449229211,0.612922458589403,5.01541501148484e-05,0.000136338194962224
"Nbr1",5891.93963398438,-0.312071142201195,0.0772627582363219,5.04094409991367e-05,0.000137011811999437
"Myrfl",78.047891352974,4.65808998838011,1.48357882826576,5.05674159441041e-05,0.000137420765480546
"Clvs2",9.94886011424639,6.86348067749118,2.94817709146845,5.05966286108216e-05,0.000137479728245566
"1700030A11Rik",9.59297594293338,6.81422805273965,2.93044734667253,5.06057198831872e-05,0.00013748400833258
"Gm9733",23.2480911429338,2.89399671031142,0.838807647772313,5.0661931619358e-05,0.000137616283513706
"Rest",3560.0481577606,-0.472489623449181,0.117463494141308,5.07300975132106e-05,0.000137780986445679
"Cuedc1",922.772199653422,-0.570957037588634,0.142473283136375,5.11540058529967e-05,0.00013891167978964
"Ogn",48.082772814855,2.11164061209951,0.591155713461821,5.12921916899741e-05,0.000139266256552324
"Ankrd28",4418.90293641037,0.344444650958289,0.0852558656867214,5.1312269976711e-05,0.000139300095341941
"Hdac5",2878.90191310036,-0.446090291612376,0.110756272806503,5.1441371288507e-05,0.000139629850661726
"4932418E24Rik",28.7508992600513,3.66458230696552,1.10583230274002,5.14561937363822e-05,0.000139649361398502
"Vmac",977.900272833553,-0.482889991714514,0.120129542273028,5.15419946296915e-05,0.000139861469480243
"Brip1os",3202.3136703923,-0.436044426157165,0.108387312801042,5.15642393150704e-05,0.000139901077655186
"Aprt",3711.17955377419,0.455737176439441,0.114703959010214,5.15907713316291e-05,0.000139952304493276
"Tex26",17.6567439201448,3.34420099075658,0.979418932248652,5.1638048569038e-05,0.000140059784167385
"Rnasel",3028.73505914832,-0.36565970016962,0.0907322583699022,5.17114956883955e-05,0.000140238202984749
"Gatsl3",264.220759714354,-0.976573426340043,0.249179204557762,5.19512880486246e-05,0.000140867619476051
"C730027H18Rik",13.2257622198748,7.26874698918624,3.09579182146238,5.20350072635612e-05,0.00014107371466801
"Bcl6",246.110774618304,-0.958400187102177,0.244348744531683,5.2154036885987e-05,0.000141375465725915
"Ttyh3",2874.41403607257,-0.339799210746937,0.0843443301794794,5.22631642823906e-05,0.000141650289087789
"Pinx1",628.560260348076,0.494377781671597,0.12316889681848,5.23210751479392e-05,0.000141786238015719
"Eftud2",13587.3225467557,0.286707913213506,0.0707808586940899,5.24130075891965e-05,0.000142001311890088
"Ndufaf6",1170.16085007051,0.47024888704066,0.117091736693516,5.24159664269558e-05,0.000142001311890088
"Samsn1",7709.43420692714,-0.275969576769787,0.0684447505696983,5.25307568878663e-05,0.00014229121945696
"Ldhal6b",26.4263791517277,3.06306216971809,0.900198979850513,5.25594628731454e-05,0.000142347896783473
"Mlycd",1476.52033537876,-0.459271475892088,0.114350951840419,5.26422662575045e-05,0.000142530010541062
"Tom1l1",617.573198771329,-0.789451539191105,0.199375337356536,5.26422890452338e-05,0.000142530010541062
