"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"BP","GO:0007032","endosome organization",64,-0.497600886314039,-2.21597787364572,8.53335237183955e-07,5.84390004379961e-05,4.60694456328037e-05,4539,"tags=61%, list=25%, signal=46%","Dnajc13/Stx7/Chmp2b/Aqp11/Lamtor1/Chmp7/Vps4b/Rnasek/Plekhf1/Exoc8/Chmp3/Stx12/Rnf26/Chmp2a/Vamp4/Hook1/Plekha3/Cc2d1a/Vps11/Vps18/Vps4a/Stx6/Rab22a/Pik3c3/Vti1a/Chmp5/Chmp1a/Als2/Coro1c/Tmem9/Snx10/Laptm4b/Snx33/Sqstm1/Rab5b/Tmem127/Rab11a/Plekhf2/Aktip"
"CC","GO:0034706","sodium channel complex",25,0.730132147551012,2.15462797042105,9.04623663490743e-07,6.09188652055724e-05,4.80244071179472e-05,2731,"tags=68%, list=15%, signal=58%","Grik4/Scn3a/Unc80/Scn8a/Scn4b/Grik3/Scn1a/Grik1/Scn9a/Cacna1i/Scn2b/Scn10a/Gria4/Scnn1b/Scn5a/Scn4a/Grik2"
"BP","GO:0071887","leukocyte apoptotic process",132,-0.381152652267091,-1.91139946184882,8.98827258190964e-07,6.09188652055724e-05,4.80244071179472e-05,1574,"tags=28%, list=9%, signal=26%","Bmp4/Bcl3/Pkn1/Casp7/Vhl/Il18/Lyn/Rorc/Tnfsf4/Cd44/Sirt1/Jak3/Itgam/Crkl/Anxa1/Pten/Lipa/Hcls1/Prkcq/Casp3/Nfkbiz/Tnfrsf21/St3gal1/Nfkbid/Cd24a/Cd274/Stat5a/Serpinb9/Tsc22d3/Irs2/Mef2c/Plekho2/Efna1/Cd27/Ormdl3/Gas6/Prkd2"
"MF","GO:0005267","potassium channel activity",96,0.513704743098949,1.92809750523839,9.32628290290367e-07,6.17751574904628e-05,4.86994513618404e-05,5150,"tags=55%, list=28%, signal=40%","Grik4/Abcc9/Kcna2/Kcnh8/Abcc8/Kcnma1/Hcn1/Kcnq2/Grik3/Cnga2/Grik1/Kcnj8/Kcnh5/Pkd2l1/Kcnh7/Scn2b/Kcnc2/Kcnu1/Kcnj15/Kcnj6/Kcna1/Kcnh1/Fxyd4/Kcnk16/Kcnt2/Kcnj12/Snap25/Kcnk9/Kcnn3/Lrrc55/Grik2/Kcnh3/Kcnq3/Kcnk10/Kcnip4/Kcng4/Kcnj13/Kcnj9/Kcnh4/Kcnv1/Kcne2/Kcne1/Kcnn2/Kcnk5/Hcn4/Kcnmb2/Kcnip2/Kcnj2/Kcnt1/Lrrc38/Kcnmb3/Mcoln3/Kcnmb1"
"CC","GO:0042734","presynaptic membrane",239,0.422997262582104,1.74032106708772,9.30011865801513e-07,6.17751574904628e-05,4.86994513618404e-05,3211,"tags=38%, list=18%, signal=31%","Nrg1/Cacna1e/Podxl/Cacna1c/Grik4/Kcna2/Adcy8/Nrxn3/Gria1/Slc1a2/Kcnma1/Scn8a/Unc13c/Hcn1/Slc6a3/Slc6a11/Slc6a7/Grik3/Scn1a/Ppfia2/Rims1/Atp2b2/Grik1/Cacna2d3/Ptprd/Kcnj8/Rims2/Adam23/Cntn5/Syt7/Erc2/Gabrb2/Slc6a4/Casr/Cacna1d/Ano2/Scn10a/Grip1/Gad2/Kcnc2/Grin2b/Ano1/Gria4/Chrna6/Otof/Slc6a1/Npy1r/Grin2a/Slc6a2/Rgs7bp/Erbb4/Atp2b3/P2ry4/Cntn6/Kcnj6/Kcna1/Chrnb2/Cntnap2/Slc6a5/Dgki/Kcnh1/Cdh2/Gnao1/Glra1/Cntnap4/Atp1a3/Celsr3/Ctnna2/Cdh9/Adora1/Snap25/Dnajc6/Flrt2/Cacna2d1/Gabra5/Htr3a/Cntn1/Grm7/Snap91/Gpr158/Syt1/Chrna4/Gabrb1/Grik2/Pcdh17/Htr7/Gabra6/Drd1/Rgs7/Slc5a7"
"BP","GO:0010594","regulation of endothelial cell migration",159,-0.353753671298899,-1.85359725943693,9.4475585154336e-07,6.20696913522105e-05,4.89316423923014e-05,2001,"tags=28%, list=11%, signal=25%","Rhob/Rock2/Patz1/Serpinf1/Dll4/Hdac5/Tbxa2r/Rhoa/Hmox1/Bmp4/Pdpk1/P2rx4/Jup/Rras/Zc3h12a/Ptk2b/Vegfc/Notch1/Map3k3/Sirt1/Atp2b4/Rac1/Anxa1/Itgb3/Gab1/Rhoj/Robo4/Plcg1/Prcp/Ets1/Rin2/Spred1/Pik3cg/Stat5a/Dnaja4/Plk2/Tek/Mef2c/Glul/Efna1/Prkd2/Angpt1/Apoe/Tgfbr3/Gata2"
"BP","GO:0045580","regulation of T cell differentiation",180,-0.346835171842014,-1.8491964947968,1.00113371019566e-06,6.43188738972928e-05,5.07047492593303e-05,2472,"tags=32%, list=14%, signal=28%","Sos1/Il4/Il7r/Zeb1/Braf/H2-Oa/Clec4g/Ap3b1/Loxl3/Zmiz1/Il4ra/Gimap5/Arid2/Clptm1/Ep300/Sos2/Nckap1l/Bcl6/Shb/Rhoa/H2-DMa/Irf1/Bmp4/Brd2/Cyp26b1/Zc3h12a/Sh2b3/Il18/Rorc/Tnfsf4/Cd44/Zfp608/Nrarp/Actb/Jak3/Il12a/Syk/Anxa1/Ctla2a/Il15/Sox4/Rag2/Socs5/Lgals9/Nfkbiz/Rhoh/Il2rg/Egr3/Nfkbid/Vnn1/Sash3/Stat5a/Pf4/Smarca2/Stat5b/Cd27/Tgfbr2/Smad7"
"BP","GO:1902107","positive regulation of leukocyte differentiation",199,-0.329538794742457,-1.7784341686095,1.00286822312324e-06,6.43188738972928e-05,5.07047492593303e-05,2605,"tags=31%, list=14%, signal=27%","Gsk3b/Pnp/Nedd9/Traf6/Il4/Il7r/Ap3b1/Zmiz1/Csf1/Notch2/Xrcc6/Ror2/Il4ra/Gimap5/Arid2/Ep300/Nckap1l/Bcl6/Shb/Rhoa/H2-DMa/Ninj1/Irf1/Zfp36l1/Brd2/Trib1/Il18/Tnfsf4/Ikzf1/Actb/Inpp5d/Itgam/Tmem64/Il12a/Syk/Ppp3ca/Anxa1/Itgb3/Il15/Hcls1/Sox4/Socs5/Lgals9/Nfkbiz/Rhoh/Il2rg/Egr3/Nfkbid/Vnn1/Mmp14/Sash3/Fos/Stat5a/Gfi1b/Smarca2/Stat5b/Cd27/Tgfbr2/Gas6/Klf10/Car2"
"BP","GO:1903708","positive regulation of hemopoiesis",199,-0.329538794742457,-1.7784341686095,1.00286822312324e-06,6.43188738972928e-05,5.07047492593303e-05,2605,"tags=31%, list=14%, signal=27%","Gsk3b/Pnp/Nedd9/Traf6/Il4/Il7r/Ap3b1/Zmiz1/Csf1/Notch2/Xrcc6/Ror2/Il4ra/Gimap5/Arid2/Ep300/Nckap1l/Bcl6/Shb/Rhoa/H2-DMa/Ninj1/Irf1/Zfp36l1/Brd2/Trib1/Il18/Tnfsf4/Ikzf1/Actb/Inpp5d/Itgam/Tmem64/Il12a/Syk/Ppp3ca/Anxa1/Itgb3/Il15/Hcls1/Sox4/Socs5/Lgals9/Nfkbiz/Rhoh/Il2rg/Egr3/Nfkbid/Vnn1/Mmp14/Sash3/Fos/Stat5a/Gfi1b/Smarca2/Stat5b/Cd27/Tgfbr2/Gas6/Klf10/Car2"
"MF","GO:0005245","voltage-gated calcium channel activity",36,0.664920032985843,2.13324586422203,1.02208587697049e-06,6.50352438724296e-05,5.12694880018684e-05,4134,"tags=67%, list=23%, signal=52%","Cacna1e/Catsper3/Cacna1c/Ryr1/Cacna2d3/Cacna1f/Tmc2/Cacna1i/Cacnb3/Cacna1d/Cacna1s/Rimbp2/Trpa1/Cacna2d1/Grm7/Cacng4/Catsper4/Oprm1/Cacng5/Tmc1/Calhm1/Cachd1/Cacna1b/Cacng1"
